displacement_A,energy_eV,energy_rel_kcal_mol,min_contact_A
-4.7000,-6153.090163,42.9248,1.7767
-4.6000,-6153.332556,37.3351,1.7901
-4.5000,-6153.540236,32.5459,1.8488
-4.4000,-6153.689113,29.1127,1.9249
-4.3000,-6153.790521,26.7742,1.9131
-4.2000,-6153.881035,24.6869,1.9755
-4.1000,-6153.943793,23.2397,1.9534
-4.0000,-6154.003632,21.8597,1.9174
-3.9000,-6154.052705,20.7281,1.8967
-3.8000,-6154.093030,19.7982,1.8841
-3.7000,-6154.108472,19.4421,1.7768
-3.6000,-6154.144672,18.6073,1.7506
-3.5000,-6154.184281,17.6939,1.7501
-3.4000,-6154.214804,16.9900,1.7616
-3.3000,-6154.204746,17.2220,1.6829
-3.2000,-6154.253491,16.0979,1.7071
-3.1000,-6154.294351,15.1556,1.6992
-3.0000,-6154.343863,14.0139,1.7345
-2.9000,-6154.386162,13.0384,1.7532
-2.8000,-6154.427985,12.0740,1.7870
-2.7000,-6154.464815,11.2246,1.7917
-2.6000,-6154.432814,11.9626,1.8114
-2.5000,-6154.482181,10.8242,1.7861
-2.4000,-6154.511405,10.1502,1.8004
-2.3000,-6154.556859,9.1020,1.7795
-2.2000,-6154.589005,8.3608,1.7866
-2.1000,-6154.614889,7.7639,1.7841
-2.0000,-6154.564621,8.9231,1.7979
-1.9000,-6154.613423,7.7977,1.7791
-1.8000,-6154.650536,6.9418,1.7784
-1.7000,-6154.667137,6.5590,1.7796
-1.6000,-6154.708076,5.6149,1.7754
-1.5000,-6154.738753,4.9075,1.7903
-1.4000,-6154.770793,4.1686,1.7988
-1.3000,-6154.495027,10.5279,1.7615
-1.2000,-6154.553894,9.1704,1.7604
-1.1000,-6154.606239,7.9633,1.7626
-1.0000,-6154.645551,7.0568,1.7689
-0.9000,-6154.692328,5.9781,1.7760
-0.8000,-6154.728032,5.1547,1.7925
-0.7000,-6154.766663,4.2639,1.8057
-0.6000,-6154.723587,5.2572,1.7693
-0.5000,-6154.776615,4.0344,1.7780
-0.4000,-6154.821515,2.9989,1.7885
-0.3000,-6154.847402,2.4020,1.7897
-0.2000,-6154.891666,1.3812,1.8081
-0.1000,-6154.924756,0.6182,1.8295
0.0000,-6154.951562,0.0000,1.8493
0.1000,-6154.924755,0.6182,1.8295
0.2000,-6154.891665,1.3813,1.8081
0.3000,-6154.847401,2.4020,1.7897
0.4000,-6154.821515,2.9989,1.7885
0.5000,-6154.776616,4.0344,1.7780
0.6000,-6154.723587,5.2572,1.7693
0.7000,-6154.766663,4.2639,1.8057
0.8000,-6154.728032,5.1547,1.7925
0.9000,-6154.692328,5.9781,1.7760
1.0000,-6154.645551,7.0568,1.7689
1.1000,-6154.606239,7.9633,1.7626
1.2000,-6154.553895,9.1704,1.7604
1.3000,-6154.495027,10.5279,1.7615
1.4000,-6154.770793,4.1686,1.7988
1.5000,-6154.738753,4.9075,1.7903
1.6000,-6154.708076,5.6149,1.7754
1.7000,-6154.667137,6.5590,1.7796
1.8000,-6154.650536,6.9418,1.7784
1.9000,-6154.613423,7.7976,1.7791
2.0000,-6154.564621,8.9231,1.7979
2.1000,-6154.614888,7.7639,1.7841
2.2000,-6154.589004,8.3608,1.7866
2.3000,-6154.556859,9.1020,1.7795
2.4000,-6154.511405,10.1502,1.8004
2.5000,-6154.482181,10.8242,1.7861
2.6000,-6154.432813,11.9626,1.8114
2.7000,-6154.464814,11.2246,1.7917
2.8000,-6154.427984,12.0740,1.7870
2.9000,-6154.386161,13.0384,1.7532
3.0000,-6154.343862,14.0139,1.7345
3.1000,-6154.294351,15.1556,1.6992
3.2000,-6154.253491,16.0979,1.7071
3.3000,-6154.204746,17.2220,1.6829
3.4000,-6154.214803,16.9900,1.7616
3.5000,-6154.184281,17.6939,1.7501
3.6000,-6154.144672,18.6073,1.7506
3.7000,-6154.108472,19.4421,1.7768
3.8000,-6154.093030,19.7982,1.8841
3.9000,-6154.052705,20.7281,1.8967
4.0000,-6154.003632,21.8598,1.9174
4.1000,-6153.943793,23.2397,1.9534
4.2000,-6153.881036,24.6869,1.9755
4.3000,-6153.790521,26.7742,1.9131
4.4000,-6153.689113,29.1127,1.9249
4.5000,-6153.540236,32.5459,1.8488
4.6000,-6153.332556,37.3351,1.7901
4.7000,-6153.090163,42.9248,1.7767
